leto,drzava,starostna skupina,spol,prodajalec,odstotek
2010,EU28,skupaj,skupaj,domači,89
2010,EU28,skupaj,skupaj,iz EU,22
2010,EU28,skupaj,skupaj,iz drugih držav,13
2011,EU28,skupaj,skupaj,domači,91
2011,EU28,skupaj,skupaj,iz EU,23
2011,EU28,skupaj,skupaj,iz drugih držav,12
2012,EU28,skupaj,skupaj,domači,91
2012,EU28,skupaj,skupaj,iz EU,25
2012,EU28,skupaj,skupaj,iz drugih držav,13
2013,EU28,skupaj,skupaj,domači,89
2013,EU28,skupaj,skupaj,iz EU,26
2013,EU28,skupaj,skupaj,iz drugih držav,14
2014,EU28,skupaj,skupaj,domači,88
2014,EU28,skupaj,skupaj,iz EU,29
2014,EU28,skupaj,skupaj,iz drugih držav,17
2015,EU28,skupaj,skupaj,domači,88
2015,EU28,skupaj,skupaj,iz EU,30
2015,EU28,skupaj,skupaj,iz drugih držav,18
2016,EU28,skupaj,skupaj,domači,89
2016,EU28,skupaj,skupaj,iz EU,32
2016,EU28,skupaj,skupaj,iz drugih držav,20
2017,EU28,skupaj,skupaj,domači,87
2017,EU28,skupaj,skupaj,iz EU,33
2017,EU28,skupaj,skupaj,iz drugih držav,23
2018,EU28,skupaj,skupaj,domači,88
2018,EU28,skupaj,skupaj,iz EU,36
2018,EU28,skupaj,skupaj,iz drugih držav,26
2019,EU28,skupaj,skupaj,domači,87
2019,EU28,skupaj,skupaj,iz EU,35
2019,EU28,skupaj,skupaj,iz drugih držav,27
2010,EU28,16-24,skupaj,domači,87
2010,EU28,16-24,skupaj,iz EU,21
2010,EU28,16-24,skupaj,iz drugih držav,13
2011,EU28,16-24,skupaj,domači,87
2011,EU28,16-24,skupaj,iz EU,22
2011,EU28,16-24,skupaj,iz drugih držav,13
2012,EU28,16-24,skupaj,domači,88
2012,EU28,16-24,skupaj,iz EU,24
2012,EU28,16-24,skupaj,iz drugih držav,16
2013,EU28,16-24,skupaj,domači,85
2013,EU28,16-24,skupaj,iz EU,25
2013,EU28,16-24,skupaj,iz drugih držav,17
2014,EU28,16-24,skupaj,domači,84
2014,EU28,16-24,skupaj,iz EU,29
2014,EU28,16-24,skupaj,iz drugih držav,21
2015,EU28,16-24,skupaj,domači,82
2015,EU28,16-24,skupaj,iz EU,33
2015,EU28,16-24,skupaj,iz drugih držav,22
2016,EU28,16-24,skupaj,domači,83
2016,EU28,16-24,skupaj,iz EU,35
2016,EU28,16-24,skupaj,iz drugih držav,25
2017,EU28,16-24,skupaj,domači,83
2017,EU28,16-24,skupaj,iz EU,35
2017,EU28,16-24,skupaj,iz drugih držav,28
2018,EU28,16-24,skupaj,domači,81
2018,EU28,16-24,skupaj,iz EU,39
2018,EU28,16-24,skupaj,iz drugih držav,31
2019,EU28,16-24,skupaj,domači,80
2019,EU28,16-24,skupaj,iz EU,36
2019,EU28,16-24,skupaj,iz drugih držav,32
2010,EU28,25-54,skupaj,domači,90
2010,EU28,25-54,skupaj,iz EU,23
