"TIME","INDIC_IS","GEO","IND_TYPE","UNIT","Value","Flag and Footnotes"
"2010","Last online purchase: in the last 3 months","European Union - 28 countries (2013-2020)","All Individuals","Percentage of individuals","31",""
"2010","Last online purchase: in the last 3 months","European Union - 28 countries (2013-2020)","Individuals, 15 years old or less","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","European Union - 28 countries (2013-2020)","Individuals, 16 to 24 years old","Percentage of individuals","36",""
"2010","Last online purchase: in the last 3 months","European Union - 28 countries (2013-2020)","Individuals, 25 to 54 years old","Percentage of individuals","38",""
"2010","Last online purchase: in the last 3 months","European Union - 28 countries (2013-2020)","Individuals, 55 to 74 years old","Percentage of individuals","16",""
"2010","Last online purchase: in the last 3 months","European Union - 28 countries (2013-2020)","Individuals, 75 years old or more","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","European Union - 28 countries (2013-2020)","Males, 16 to 24 years old","Percentage of individuals","37",""
"2010","Last online purchase: in the last 3 months","European Union - 28 countries (2013-2020)","Females, 16 to 24 years old","Percentage of individuals","36",""
"2010","Last online purchase: in the last 3 months","European Union - 28 countries (2013-2020)","Males 25 to 54 years old","Percentage of individuals","39",""
"2010","Last online purchase: in the last 3 months","European Union - 28 countries (2013-2020)","Females 25 to 54 years old","Percentage of individuals","36",""
"2010","Last online purchase: in the last 3 months","European Union - 28 countries (2013-2020)","Males 55 to 74 years old","Percentage of individuals","19",""
"2010","Last online purchase: in the last 3 months","European Union - 28 countries (2013-2020)","Females 55 to 74 years old","Percentage of individuals","12",""
"2010","Last online purchase: in the last 3 months","Belgium","All Individuals","Percentage of individuals","27",""
"2010","Last online purchase: in the last 3 months","Belgium","Individuals, 15 years old or less","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Belgium","Individuals, 16 to 24 years old","Percentage of individuals","24",""
"2010","Last online purchase: in the last 3 months","Belgium","Individuals, 25 to 54 years old","Percentage of individuals","35",""
"2010","Last online purchase: in the last 3 months","Belgium","Individuals, 55 to 74 years old","Percentage of individuals","12",""
"2010","Last online purchase: in the last 3 months","Belgium","Individuals, 75 years old or more","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Belgium","Males, 16 to 24 years old","Percentage of individuals","27",""
"2010","Last online purchase: in the last 3 months","Belgium","Females, 16 to 24 years old","Percentage of individuals","20",""
"2010","Last online purchase: in the last 3 months","Belgium","Males 25 to 54 years old","Percentage of individuals","38",""
"2010","Last online purchase: in the last 3 months","Belgium","Females 25 to 54 years old","Percentage of individuals","32",""
"2010","Last online purchase: in the last 3 months","Belgium","Males 55 to 74 years old","Percentage of individuals","18",""
"2010","Last online purchase: in the last 3 months","Belgium","Females 55 to 74 years old","Percentage of individuals","7",""
"2010","Last online purchase: in the last 3 months","Bulgaria","All Individuals","Percentage of individuals","3",""
"2010","Last online purchase: in the last 3 months","Bulgaria","Individuals, 15 years old or less","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Bulgaria","Individuals, 16 to 24 years old","Percentage of individuals","5",""
"2010","Last online purchase: in the last 3 months","Bulgaria","Individuals, 25 to 54 years old","Percentage of individuals","4",""
"2010","Last online purchase: in the last 3 months","Bulgaria","Individuals, 55 to 74 years old","Percentage of individuals","0","n"
"2010","Last online purchase: in the last 3 months","Bulgaria","Individuals, 75 years old or more","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Bulgaria","Males, 16 to 24 years old","Percentage of individuals","5",""
"2010","Last online purchase: in the last 3 months","Bulgaria","Females, 16 to 24 years old","Percentage of individuals","5",""
"2010","Last online purchase: in the last 3 months","Bulgaria","Males 25 to 54 years old","Percentage of individuals","4",""
"2010","Last online purchase: in the last 3 months","Bulgaria","Females 25 to 54 years old","Percentage of individuals","4",""
"2010","Last online purchase: in the last 3 months","Bulgaria","Males 55 to 74 years old","Percentage of individuals","0","n"
"2010","Last online purchase: in the last 3 months","Bulgaria","Females 55 to 74 years old","Percentage of individuals",":","u"
"2010","Last online purchase: in the last 3 months","Czechia","All Individuals","Percentage of individuals","15",""
"2010","Last online purchase: in the last 3 months","Czechia","Individuals, 15 years old or less","Percentage of individuals",":","u"
"2010","Last online purchase: in the last 3 months","Czechia","Individuals, 16 to 24 years old","Percentage of individuals","21",""
"2010","Last online purchase: in the last 3 months","Czechia","Individuals, 25 to 54 years old","Percentage of individuals","18",""
"2010","Last online purchase: in the last 3 months","Czechia","Individuals, 55 to 74 years old","Percentage of individuals","4",""
"2010","Last online purchase: in the last 3 months","Czechia","Individuals, 75 years old or more","Percentage of individuals","1",""
"2010","Last online purchase: in the last 3 months","Czechia","Males, 16 to 24 years old","Percentage of individuals","22",""
"2010","Last online purchase: in the last 3 months","Czechia","Females, 16 to 24 years old","Percentage of individuals","21",""
"2010","Last online purchase: in the last 3 months","Czechia","Males 25 to 54 years old","Percentage of individuals","19",""
"2010","Last online purchase: in the last 3 months","Czechia","Females 25 to 54 years old","Percentage of individuals","18",""
"2010","Last online purchase: in the last 3 months","Czechia","Males 55 to 74 years old","Percentage of individuals","5",""
"2010","Last online purchase: in the last 3 months","Czechia","Females 55 to 74 years old","Percentage of individuals","3",""
"2010","Last online purchase: in the last 3 months","Denmark","All Individuals","Percentage of individuals","54",""
"2010","Last online purchase: in the last 3 months","Denmark","Individuals, 15 years old or less","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Denmark","Individuals, 16 to 24 years old","Percentage of individuals","62",""
"2010","Last online purchase: in the last 3 months","Denmark","Individuals, 25 to 54 years old","Percentage of individuals","63",""
"2010","Last online purchase: in the last 3 months","Denmark","Individuals, 55 to 74 years old","Percentage of individuals","33",""
"2010","Last online purchase: in the last 3 months","Denmark","Individuals, 75 years old or more","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Denmark","Males, 16 to 24 years old","Percentage of individuals","68",""
"2010","Last online purchase: in the last 3 months","Denmark","Females, 16 to 24 years old","Percentage of individuals","55",""
"2010","Last online purchase: in the last 3 months","Denmark","Males 25 to 54 years old","Percentage of individuals","63",""
"2010","Last online purchase: in the last 3 months","Denmark","Females 25 to 54 years old","Percentage of individuals","64",""
"2010","Last online purchase: in the last 3 months","Denmark","Males 55 to 74 years old","Percentage of individuals","40",""
"2010","Last online purchase: in the last 3 months","Denmark","Females 55 to 74 years old","Percentage of individuals","27",""
"2010","Last online purchase: in the last 3 months","Germany (until 1990 former territory of the FRG)","All Individuals","Percentage of individuals","48",""
"2010","Last online purchase: in the last 3 months","Germany (until 1990 former territory of the FRG)","Individuals, 15 years old or less","Percentage of individuals","17",""
"2010","Last online purchase: in the last 3 months","Germany (until 1990 former territory of the FRG)","Individuals, 16 to 24 years old","Percentage of individuals","55",""
"2010","Last online purchase: in the last 3 months","Germany (until 1990 former territory of the FRG)","Individuals, 25 to 54 years old","Percentage of individuals","61",""
"2010","Last online purchase: in the last 3 months","Germany (until 1990 former territory of the FRG)","Individuals, 55 to 74 years old","Percentage of individuals","23",""
"2010","Last online purchase: in the last 3 months","Germany (until 1990 former territory of the FRG)","Individuals, 75 years old or more","Percentage of individuals",":","u"
"2010","Last online purchase: in the last 3 months","Germany (until 1990 former territory of the FRG)","Males, 16 to 24 years old","Percentage of individuals","54",""
"2010","Last online purchase: in the last 3 months","Germany (until 1990 former territory of the FRG)","Females, 16 to 24 years old","Percentage of individuals","56",""
"2010","Last online purchase: in the last 3 months","Germany (until 1990 former territory of the FRG)","Males 25 to 54 years old","Percentage of individuals","62",""
"2010","Last online purchase: in the last 3 months","Germany (until 1990 former territory of the FRG)","Females 25 to 54 years old","Percentage of individuals","60",""
"2010","Last online purchase: in the last 3 months","Germany (until 1990 former territory of the FRG)","Males 55 to 74 years old","Percentage of individuals","29",""
"2010","Last online purchase: in the last 3 months","Germany (until 1990 former territory of the FRG)","Females 55 to 74 years old","Percentage of individuals","18",""
"2010","Last online purchase: in the last 3 months","Estonia","All Individuals","Percentage of individuals","13",""
"2010","Last online purchase: in the last 3 months","Estonia","Individuals, 15 years old or less","Percentage of individuals","5",""
"2010","Last online purchase: in the last 3 months","Estonia","Individuals, 16 to 24 years old","Percentage of individuals","18",""
"2010","Last online purchase: in the last 3 months","Estonia","Individuals, 25 to 54 years old","Percentage of individuals","18",""
"2010","Last online purchase: in the last 3 months","Estonia","Individuals, 55 to 74 years old","Percentage of individuals","2",""
"2010","Last online purchase: in the last 3 months","Estonia","Individuals, 75 years old or more","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Estonia","Males, 16 to 24 years old","Percentage of individuals","16",""
"2010","Last online purchase: in the last 3 months","Estonia","Females, 16 to 24 years old","Percentage of individuals","20",""
"2010","Last online purchase: in the last 3 months","Estonia","Males 25 to 54 years old","Percentage of individuals","18",""
"2010","Last online purchase: in the last 3 months","Estonia","Females 25 to 54 years old","Percentage of individuals","17",""
"2010","Last online purchase: in the last 3 months","Estonia","Males 55 to 74 years old","Percentage of individuals","1",""
"2010","Last online purchase: in the last 3 months","Estonia","Females 55 to 74 years old","Percentage of individuals","3",""
"2010","Last online purchase: in the last 3 months","Ireland","All Individuals","Percentage of individuals","28",""
"2010","Last online purchase: in the last 3 months","Ireland","Individuals, 15 years old or less","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Ireland","Individuals, 16 to 24 years old","Percentage of individuals","27",""
"2010","Last online purchase: in the last 3 months","Ireland","Individuals, 25 to 54 years old","Percentage of individuals","34",""
"2010","Last online purchase: in the last 3 months","Ireland","Individuals, 55 to 74 years old","Percentage of individuals","11",""
