leto,drzava,starostna skupina,spol,pogostost,odstotek
2016,EU28,skupaj,skupaj,1-2,16
2016,EU28,skupaj,skupaj,3-5,16
2016,EU28,skupaj,skupaj,6 ali več,14
2017,EU28,skupaj,skupaj,1-2,17
2017,EU28,skupaj,skupaj,3-5,17
2017,EU28,skupaj,skupaj,6 ali več,14
2018,EU28,skupaj,skupaj,1-2,17
2018,EU28,skupaj,skupaj,3-5,17
2018,EU28,skupaj,skupaj,6 ali več,16
2019,EU28,skupaj,skupaj,1-2,17
2019,EU28,skupaj,skupaj,3-5,18
2019,EU28,skupaj,skupaj,6 ali več,17
2016,EU28,16-24,skupaj,1-2,23
2016,EU28,16-24,skupaj,3-5,19
2016,EU28,16-24,skupaj,6 ali več,12
2017,EU28,16-24,skupaj,1-2,23
2017,EU28,16-24,skupaj,3-5,21
2017,EU28,16-24,skupaj,6 ali več,14
2018,EU28,16-24,skupaj,1-2,24
2018,EU28,16-24,skupaj,3-5,21
2018,EU28,16-24,skupaj,6 ali več,15
2019,EU28,16-24,skupaj,1-2,22
2019,EU28,16-24,skupaj,3-5,22
2019,EU28,16-24,skupaj,6 ali več,19
2016,EU28,25-54,skupaj,1-2,17
2016,EU28,25-54,skupaj,3-5,18
2016,EU28,25-54,skupaj,6 ali več,18
2017,EU28,25-54,skupaj,1-2,18
2017,EU28,25-54,skupaj,3-5,19
2017,EU28,25-54,skupaj,6 ali več,19
2018,EU28,25-54,skupaj,1-2,18
2018,EU28,25-54,skupaj,3-5,20
2018,EU28,25-54,skupaj,6 ali več,20
2019,EU28,25-54,skupaj,1-2,18
2019,EU28,25-54,skupaj,3-5,21
2019,EU28,25-54,skupaj,6 ali več,22
2016,EU28,55-74,skupaj,1-2,11
2016,EU28,55-74,skupaj,3-5,9
2016,EU28,55-74,skupaj,6 ali več,7
2017,EU28,55-74,skupaj,1-2,12
2017,EU28,55-74,skupaj,3-5,10
2017,EU28,55-74,skupaj,6 ali več,7
2018,EU28,55-74,skupaj,1-2,12
2018,EU28,55-74,skupaj,3-5,10
2018,EU28,55-74,skupaj,6 ali več,8
2019,EU28,55-74,skupaj,1-2,13
2019,EU28,55-74,skupaj,3-5,12
2019,EU28,55-74,skupaj,6 ali več,8
2016,EU28,16-24,moški,1-2,23
2016,EU28,16-24,moški,3-5,18
2016,EU28,16-24,moški,6 ali več,13
2017,EU28,16-24,moški,1-2,22
2017,EU28,16-24,moški,3-5,21
2017,EU28,16-24,moški,6 ali več,15
2018,EU28,16-24,moški,1-2,23
2018,EU28,16-24,moški,3-5,20
2018,EU28,16-24,moški,6 ali več,15
2019,EU28,16-24,moški,1-2,21
2019,EU28,16-24,moški,3-5,22
2019,EU28,16-24,moški,6 ali več,20
2016,EU28,16-24,ženske,1-2,23
2016,EU28,16-24,ženske,3-5,20
2016,EU28,16-24,ženske,6 ali več,12
2017,EU28,16-24,ženske,1-2,24
2017,EU28,16-24,ženske,3-5,20
2017,EU28,16-24,ženske,6 ali več,11
2018,EU28,16-24,ženske,1-2,24
2018,EU28,16-24,ženske,3-5,21
2018,EU28,16-24,ženske,6 ali več,15
2019,EU28,16-24,ženske,1-2,23
2019,EU28,16-24,ženske,3-5,22
2019,EU28,16-24,ženske,6 ali več,17
2016,EU28,25-54,moški,1-2,17
2016,EU28,25-54,moški,3-5,18
2016,EU28,25-54,moški,6 ali več,18
2017,EU28,25-54,moški,1-2,18
2017,EU28,25-54,moški,3-5,19
2017,EU28,25-54,moški,6 ali več,19
2018,EU28,25-54,moški,1-2,18
2018,EU28,25-54,moški,3-5,20
2018,EU28,25-54,moški,6 ali več,20
2019,EU28,25-54,moški,1-2,18
2019,EU28,25-54,moški,3-5,20
2019,EU28,25-54,moški,6 ali več,22
2016,EU28,25-54,ženske,1-2,17
2016,EU28,25-54,ženske,3-5,18
2016,EU28,25-54,ženske,6 ali več,17
2017,EU28,25-54,ženske,1-2,19
2017,EU28,25-54,ženske,3-5,20
2017,EU28,25-54,ženske,6 ali več,18
2018,EU28,25-54,ženske,1-2,19
2018,EU28,25-54,ženske,3-5,20
2018,EU28,25-54,ženske,6 ali več,21
2019,EU28,25-54,ženske,1-2,19
2019,EU28,25-54,ženske,3-5,22
2019,EU28,25-54,ženske,6 ali več,22
2016,EU28,55-74,moški,1-2,12
2016,EU28,55-74,moški,3-5,11
2016,EU28,55-74,moški,6 ali več,9
2017,EU28,55-74,moški,1-2,13
2017,EU28,55-74,moški,3-5,11
2017,EU28,55-74,moški,6 ali več,9
2018,EU28,55-74,moški,1-2,13
2018,EU28,55-74,moški,3-5,12
2018,EU28,55-74,moški,6 ali več,9
2019,EU28,55-74,moški,1-2,14
2019,EU28,55-74,moški,3-5,13
2019,EU28,55-74,moški,6 ali več,9
2016,EU28,55-74,ženske,1-2,10
2016,EU28,55-74,ženske,3-5,8
2016,EU28,55-74,ženske,6 ali več,5
2017,EU28,55-74,ženske,1-2,10
2017,EU28,55-74,ženske,3-5,9
2017,EU28,55-74,ženske,6 ali več,6
2018,EU28,55-74,ženske,1-2,11
2018,EU28,55-74,ženske,3-5,9
2018,EU28,55-74,ženske,6 ali več,7
2019,EU28,55-74,ženske,1-2,12
2019,EU28,55-74,ženske,3-5,10
2019,EU28,55-74,ženske,6 ali več,7
2016,Belgija,skupaj,skupaj,1-2,21
2016,Belgija,skupaj,skupaj,3-5,17
2016,Belgija,skupaj,skupaj,6 ali več,7
2017,Belgija,skupaj,skupaj,1-2,21
2017,Belgija,skupaj,skupaj,3-5,16
2017,Belgija,skupaj,skupaj,6 ali več,9
2018,Belgija,skupaj,skupaj,1-2,23
2018,Belgija,skupaj,skupaj,3-5,16
2018,Belgija,skupaj,skupaj,6 ali več,10
2019,Belgija,skupaj,skupaj,1-2,24
2019,Belgija,skupaj,skupaj,3-5,19
2019,Belgija,skupaj,skupaj,6 ali več,11
2016,Belgija,16-24,skupaj,1-2,27
2016,Belgija,16-24,skupaj,3-5,21
2016,Belgija,16-24,skupaj,6 ali več,4
