"TIME","GEO","INDIC_IS","IND_TYPE","UNIT","Value","Flag and Footnotes"
"2009","European Union - 28 countries (2013-2020)","Individuals who encountered the following problem when making purchases over the Internet: Difficulties concerning guarantees","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2009","European Union - 28 countries (2013-2020)","Individuals who encountered the following problem when making purchases over the Internet: Speed of delivery longer than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","5",""
"2009","European Union - 28 countries (2013-2020)","Individuals who encountered the following problem when making purchases over the Internet: Delivery costs or final price higher than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","European Union - 28 countries (2013-2020)","Individuals who encountered the following problem when buying/ordering over the Internet: wrong or damaged good/services delivered","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","3",""
"2009","European Union - 28 countries (2013-2020)","Individuals who encountered the following problem when buying/ordering over the Internet: problems with fraud","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","European Union - 28 countries (2013-2020)","Individuals who encountered the following problem when making purchases over the Internet: Complaints and redress were difficult or no satisfactory response received after complaint","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","European Union - 28 countries (2013-2020)","Individuals who encountered the following problem when making purchases over the Internet: Other","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Belgium","Individuals who encountered the following problem when making purchases over the Internet: Difficulties concerning guarantees","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2009","Belgium","Individuals who encountered the following problem when making purchases over the Internet: Speed of delivery longer than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Belgium","Individuals who encountered the following problem when making purchases over the Internet: Delivery costs or final price higher than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","0","n"
"2009","Belgium","Individuals who encountered the following problem when buying/ordering over the Internet: wrong or damaged good/services delivered","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Belgium","Individuals who encountered the following problem when buying/ordering over the Internet: problems with fraud","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Belgium","Individuals who encountered the following problem when making purchases over the Internet: Complaints and redress were difficult or no satisfactory response received after complaint","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Belgium","Individuals who encountered the following problem when making purchases over the Internet: Other","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Bulgaria","Individuals who encountered the following problem when making purchases over the Internet: Difficulties concerning guarantees","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2009","Bulgaria","Individuals who encountered the following problem when making purchases over the Internet: Speed of delivery longer than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","4",""
"2009","Bulgaria","Individuals who encountered the following problem when making purchases over the Internet: Delivery costs or final price higher than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":","u"
"2009","Bulgaria","Individuals who encountered the following problem when buying/ordering over the Internet: wrong or damaged good/services delivered","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Bulgaria","Individuals who encountered the following problem when buying/ordering over the Internet: problems with fraud","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":","u"
"2009","Bulgaria","Individuals who encountered the following problem when making purchases over the Internet: Complaints and redress were difficult or no satisfactory response received after complaint","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":","u"
"2009","Bulgaria","Individuals who encountered the following problem when making purchases over the Internet: Other","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":","u"
