leto,drzava,starostna skupina,spol,vrednost,odstotek
2015,EU28,skupaj,skupaj,49 ali manj,15
2015,EU28,16-24,skupaj,49 ali manj,26
2015,EU28,25-54,skupaj,49 ali manj,13
2015,EU28,55-74,skupaj,49 ali manj,12
2015,EU28,16-24,moški,49 ali manj,24
2015,EU28,16-24,ženske,49 ali manj,28
2015,EU28,25-54,moški,49 ali manj,12
2015,EU28,25-54,ženske,49 ali manj,15
2015,EU28,55-74,moški,49 ali manj,11
2015,EU28,55-74,ženske,49 ali manj,13
2015,Belgija,skupaj,skupaj,49 ali manj,12
2015,Belgija,16-24,skupaj,49 ali manj,21
2015,Belgija,25-54,skupaj,49 ali manj,10
2015,Belgija,55-74,skupaj,49 ali manj,10
2015,Belgija,16-24,moški,49 ali manj,15
2015,Belgija,16-24,ženske,49 ali manj,28
2015,Belgija,25-54,moški,49 ali manj,8
2015,Belgija,25-54,ženske,49 ali manj,11
2015,Belgija,55-74,moški,49 ali manj,10
2015,Belgija,55-74,ženske,49 ali manj,11
2015,Bolgarija,skupaj,skupaj,49 ali manj,33
2015,Bolgarija,16-24,skupaj,49 ali manj,47
2015,Bolgarija,25-54,skupaj,49 ali manj,29
2015,Bolgarija,55-74,skupaj,49 ali manj,31
2015,Bolgarija,16-24,moški,49 ali manj,37
2015,Bolgarija,16-24,ženske,49 ali manj,57
2015,Bolgarija,25-54,moški,49 ali manj,26
2015,Bolgarija,25-54,ženske,49 ali manj,31
2015,Bolgarija,55-74,moški,49 ali manj,23
2015,Bolgarija,55-74,ženske,49 ali manj,38
2015,Češka,skupaj,skupaj,49 ali manj,22
2015,Češka,16-24,skupaj,49 ali manj,35
2015,Češka,25-54,skupaj,49 ali manj,19
2015,Češka,55-74,skupaj,49 ali manj,21
2015,Češka,16-24,moški,49 ali manj,32
2015,Češka,16-24,ženske,49 ali manj,38
2015,Češka,25-54,moški,49 ali manj,14
2015,Češka,25-54,ženske,49 ali manj,23
2015,Češka,55-74,moški,49 ali manj,12
2015,Češka,55-74,ženske,49 ali manj,31
2015,Danska,skupaj,skupaj,49 ali manj,8
2015,Danska,16-24,skupaj,49 ali manj,13
2015,Danska,25-54,skupaj,49 ali manj,6
2015,Danska,55-74,skupaj,49 ali manj,10
