leto,država,starostna skupina,spol,vrsta blaga,odstotek
2010,EU28,skupaj,skupaj,hrana / živila,13
2010,EU28,skupaj,skupaj,oprema doma,35
2010,EU28,skupaj,skupaj,oblačila / športna oprema,47
2010,EU28,skupaj,skupaj,filmi / glasba / knjige / revije / gradiva za e-učenje / računalniška programska oprema,60
2010,EU28,skupaj,skupaj,računalniška strojna oprema,18
2010,EU28,skupaj,skupaj,elektronska oprema,25
2010,EU28,skupaj,skupaj,delnice / zavarovanje / druge finančne storitve,11
2010,EU28,skupaj,skupaj,vstopnice za prireditve,35
2010,EU28,skupaj,skupaj,potovalne in počitniške nastanitve,51
2010,EU28,skupaj,skupaj,zdravila,10
2010,EU28,skupaj,skupaj,telekomunikacijske storitve,16
2010,EU28,skupaj,skupaj,drugo,11
2011,EU28,skupaj,skupaj,hrana / živila,15
2011,EU28,skupaj,skupaj,oprema doma,37
2011,EU28,skupaj,skupaj,oblačila / športna oprema,52
2011,EU28,skupaj,skupaj,filmi / glasba / knjige / revije / gradiva za e-učenje / računalniška programska oprema,57
2011,EU28,skupaj,skupaj,računalniška strojna oprema,19
2011,EU28,skupaj,skupaj,elektronska oprema,25
2011,EU28,skupaj,skupaj,delnice / zavarovanje / druge finančne storitve,10
2011,EU28,skupaj,skupaj,vstopnice za prireditve,37
2011,EU28,skupaj,skupaj,potovalne in počitniške nastanitve,52
2011,EU28,skupaj,skupaj,zdravila,10
2011,EU28,skupaj,skupaj,telekomunikacijske storitve,17
2011,EU28,skupaj,skupaj,drugo,11
2012,EU28,skupaj,skupaj,hrana / živila,15
2012,EU28,skupaj,skupaj,oprema doma,38
2012,EU28,skupaj,skupaj,oblačila / športna oprema,54
2012,EU28,skupaj,skupaj,filmi / glasba / knjige / revije / gradiva za e-učenje / računalniška programska oprema,58
2012,EU28,skupaj,skupaj,računalniška strojna oprema,18
2012,EU28,skupaj,skupaj,elektronska oprema,23
2012,EU28,skupaj,skupaj,delnice / zavarovanje / druge finančne storitve,12
2012,EU28,skupaj,skupaj,vstopnice za prireditve,38
2012,EU28,skupaj,skupaj,potovalne in počitniške nastanitve,53
2012,EU28,skupaj,skupaj,zdravila,10
2012,EU28,skupaj,skupaj,telekomunikacijske storitve,18
2012,EU28,skupaj,skupaj,drugo,10
2013,EU28,skupaj,skupaj,hrana / živila,17
2013,EU28,skupaj,skupaj,oprema doma,41
2013,EU28,skupaj,skupaj,oblačila / športna oprema,57
2013,EU28,skupaj,skupaj,filmi / glasba / knjige / revije / gradiva za e-učenje / računalniška programska oprema,60
2013,EU28,skupaj,skupaj,računalniška strojna oprema,18
2013,EU28,skupaj,skupaj,elektronska oprema,25
2013,EU28,skupaj,skupaj,delnice / zavarovanje / druge finančne storitve,12
2013,EU28,skupaj,skupaj,vstopnice za prireditve,38
2013,EU28,skupaj,skupaj,potovalne in počitniške nastanitve,53
2013,EU28,skupaj,skupaj,zdravila,11
2013,EU28,skupaj,skupaj,telekomunikacijske storitve,20
2013,EU28,skupaj,skupaj,drugo,12
2014,EU28,skupaj,skupaj,hrana / živila,18
2014,EU28,skupaj,skupaj,oprema doma,41
2014,EU28,skupaj,skupaj,oblačila / športna oprema,59
2014,EU28,skupaj,skupaj,filmi / glasba / knjige / revije / gradiva za e-učenje / računalniška programska oprema,56
2014,EU28,skupaj,skupaj,računalniška strojna oprema,21
2014,EU28,skupaj,skupaj,elektronska oprema,27
2014,EU28,skupaj,skupaj,delnice / zavarovanje / druge finančne storitve,13
2014,EU28,skupaj,skupaj,vstopnice za prireditve,40
2014,EU28,skupaj,skupaj,potovalne in počitniške nastanitve,54
2014,EU28,skupaj,skupaj,zdravila,11
2014,EU28,skupaj,skupaj,telekomunikacijske storitve,20
2014,EU28,skupaj,skupaj,drugo,12
2015,EU28,skupaj,skupaj,hrana / živila,18
2015,EU28,skupaj,skupaj,oprema doma,41
2015,EU28,skupaj,skupaj,oblačila / športna oprema,60
2015,EU28,skupaj,skupaj,filmi / glasba / knjige / revije / gradiva za e-učenje / računalniška programska oprema,52
2015,EU28,skupaj,skupaj,računalniška strojna oprema,18
2015,EU28,skupaj,skupaj,elektronska oprema,25
2015,EU28,skupaj,skupaj,delnice / zavarovanje / druge finančne storitve,11
2015,EU28,skupaj,skupaj,vstopnice za prireditve,37
2015,EU28,skupaj,skupaj,potovalne in počitniške nastanitve,52
2015,EU28,skupaj,skupaj,zdravila,11
2015,EU28,skupaj,skupaj,telekomunikacijske storitve,18
2015,EU28,skupaj,skupaj,drugo,10
2016,EU28,skupaj,skupaj,hrana / živila,23
2016,EU28,skupaj,skupaj,oprema doma,44
2016,EU28,skupaj,skupaj,oblačila / športna oprema,61
2016,EU28,skupaj,skupaj,filmi / glasba / knjige / revije / gradiva za e-učenje / računalniška programska oprema,51
2016,EU28,skupaj,skupaj,računalniška strojna oprema,17
2016,EU28,skupaj,skupaj,elektronska oprema,24
2016,EU28,skupaj,skupaj,delnice / zavarovanje / druge finančne storitve,NA
2016,EU28,skupaj,skupaj,vstopnice za prireditve,38
2016,EU28,skupaj,skupaj,potovalne in počitniške nastanitve,52
2016,EU28,skupaj,skupaj,zdravila,13
2016,EU28,skupaj,skupaj,telekomunikacijske storitve,18
2016,EU28,skupaj,skupaj,drugo,13
2017,EU28,skupaj,skupaj,hrana / živila,24
2017,EU28,skupaj,skupaj,oprema doma,46
2017,EU28,skupaj,skupaj,oblačila / športna oprema,64
2017,EU28,skupaj,skupaj,filmi / glasba / knjige / revije / gradiva za e-učenje / računalniška programska oprema,53
2017,EU28,skupaj,skupaj,računalniška strojna oprema,18
2017,EU28,skupaj,skupaj,elektronska oprema,25
2017,EU28,skupaj,skupaj,delnice / zavarovanje / druge finančne storitve,NA
2017,EU28,skupaj,skupaj,vstopnice za prireditve,39
2017,EU28,skupaj,skupaj,potovalne in počitniške nastanitve,53
2017,EU28,skupaj,skupaj,zdravila,13
2017,EU28,skupaj,skupaj,telekomunikacijske storitve,19
2017,EU28,skupaj,skupaj,drugo,15
2018,EU28,skupaj,skupaj,hrana / živila,25
2018,EU28,skupaj,skupaj,oprema doma,46
2018,EU28,skupaj,skupaj,oblačila / športna oprema,64
2018,EU28,skupaj,skupaj,filmi / glasba / knjige / revije / gradiva za e-učenje / računalniška programska oprema,52
2018,EU28,skupaj,skupaj,računalniška strojna oprema,17
2018,EU28,skupaj,skupaj,elektronska oprema,25
2018,EU28,skupaj,skupaj,delnice / zavarovanje / druge finančne storitve,NA
2018,EU28,skupaj,skupaj,vstopnice za prireditve,39
2018,EU28,skupaj,skupaj,potovalne in počitniške nastanitve,53
2018,EU28,skupaj,skupaj,zdravila,14
2018,EU28,skupaj,skupaj,telekomunikacijske storitve,20
2018,EU28,skupaj,skupaj,drugo,19
2019,EU28,skupaj,skupaj,hrana / živila,27
2019,EU28,skupaj,skupaj,oprema doma,46
2019,EU28,skupaj,skupaj,oblačila / športna oprema,65
2019,EU28,skupaj,skupaj,filmi / glasba / knjige / revije / gradiva za e-učenje / računalniška programska oprema,54
2019,EU28,skupaj,skupaj,računalniška strojna oprema,17
2019,EU28,skupaj,skupaj,elektronska oprema,28
2019,EU28,skupaj,skupaj,delnice / zavarovanje / druge finančne storitve,NA
2019,EU28,skupaj,skupaj,vstopnice za prireditve,41
2019,EU28,skupaj,skupaj,potovalne in počitniške nastanitve,54
2019,EU28,skupaj,skupaj,zdravila,16
2019,EU28,skupaj,skupaj,telekomunikacijske storitve,21
2019,EU28,skupaj,skupaj,drugo,17
2010,EU28,16-24,skupaj,hrana / živila,8
2010,EU28,16-24,skupaj,oprema doma,20
2010,EU28,16-24,skupaj,oblačila / športna oprema,52
2010,EU28,16-24,skupaj,filmi / glasba / knjige / revije / gradiva za e-učenje / računalniška programska oprema,62
2010,EU28,16-24,skupaj,računalniška strojna oprema,18
2010,EU28,16-24,skupaj,elektronska oprema,24
2010,EU28,16-24,skupaj,delnice / zavarovanje / druge finančne storitve,6
2010,EU28,16-24,skupaj,vstopnice za prireditve,32
2010,EU28,16-24,skupaj,potovalne in počitniške nastanitve,36
2010,EU28,16-24,skupaj,zdravila,3
2010,EU28,16-24,skupaj,telekomunikacijske storitve,13
2010,EU28,16-24,skupaj,drugo,10
2011,EU28,16-24,skupaj,hrana / živila,9
2011,EU28,16-24,skupaj,oprema doma,22
2011,EU28,16-24,skupaj,oblačila / športna oprema,59
2011,EU28,16-24,skupaj,filmi / glasba / knjige / revije / gradiva za e-učenje / računalniška programska oprema,58
2011,EU28,16-24,skupaj,računalniška strojna oprema,18
2011,EU28,16-24,skupaj,elektronska oprema,22
2011,EU28,16-24,skupaj,delnice / zavarovanje / druge finančne storitve,5
2011,EU28,16-24,skupaj,vstopnice za prireditve,35
2011,EU28,16-24,skupaj,potovalne in počitniške nastanitve,35
2011,EU28,16-24,skupaj,zdravila,3
2011,EU28,16-24,skupaj,telekomunikacijske storitve,14
2011,EU28,16-24,skupaj,drugo,9
2012,EU28,16-24,skupaj,hrana / živila,9
2012,EU28,16-24,skupaj,oprema doma,22
2012,EU28,16-24,skupaj,oblačila / športna oprema,61
2012,EU28,16-24,skupaj,filmi / glasba / knjige / revije / gradiva za e-učenje / računalniška programska oprema,59
2012,EU28,16-24,skupaj,računalniška strojna oprema,17
2012,EU28,16-24,skupaj,elektronska oprema,22
2012,EU28,16-24,skupaj,delnice / zavarovanje / druge finančne storitve,7
2012,EU28,16-24,skupaj,vstopnice za prireditve,36
2012,EU28,16-24,skupaj,potovalne in počitniške nastanitve,37
2012,EU28,16-24,skupaj,zdravila,3
2012,EU28,16-24,skupaj,telekomunikacijske storitve,14
2012,EU28,16-24,skupaj,drugo,9
2013,EU28,16-24,skupaj,hrana / živila,11
2013,EU28,16-24,skupaj,oprema doma,24
2013,EU28,16-24,skupaj,oblačila / športna oprema,64
2013,EU28,16-24,skupaj,filmi / glasba / knjige / revije / gradiva za e-učenje / računalniška programska oprema,60
2013,EU28,16-24,skupaj,računalniška strojna oprema,18
2013,EU28,16-24,skupaj,elektronska oprema,23
2013,EU28,16-24,skupaj,delnice / zavarovanje / druge finančne storitve,5
2013,EU28,16-24,skupaj,vstopnice za prireditve,36
