leto,drzava,starostna skupina,spol,zadnji e-nakup,odstotek
2010,EU28,skupaj,skupaj,v zadnjih 3. mesecih,31
2010,EU28,16-24,skupaj,v zadnjih 3. mesecih,36
2010,EU28,25-54,skupaj,v zadnjih 3. mesecih,38
2010,EU28,55-74,skupaj,v zadnjih 3. mesecih,16
2010,EU28,16-24,moški,v zadnjih 3. mesecih,37
2010,EU28,16-24,ženske,v zadnjih 3. mesecih,36
2010,EU28,25-54,moški,v zadnjih 3. mesecih,39
2010,EU28,25-54,ženske,v zadnjih 3. mesecih,36
2010,EU28,55-74,moški,v zadnjih 3. mesecih,19
2010,EU28,55-74,ženske,v zadnjih 3. mesecih,12
2010,Belgija,skupaj,skupaj,v zadnjih 3. mesecih,27
2010,Belgija,16-24,skupaj,v zadnjih 3. mesecih,24
2010,Belgija,25-54,skupaj,v zadnjih 3. mesecih,35
2010,Belgija,55-74,skupaj,v zadnjih 3. mesecih,12
2010,Belgija,16-24,moški,v zadnjih 3. mesecih,27
2010,Belgija,16-24,ženske,v zadnjih 3. mesecih,20
2010,Belgija,25-54,moški,v zadnjih 3. mesecih,38
2010,Belgija,25-54,ženske,v zadnjih 3. mesecih,32
2010,Belgija,55-74,moški,v zadnjih 3. mesecih,18
2010,Belgija,55-74,ženske,v zadnjih 3. mesecih,7
2010,Bolgarija,skupaj,skupaj,v zadnjih 3. mesecih,3
2010,Bolgarija,16-24,skupaj,v zadnjih 3. mesecih,5
2010,Bolgarija,25-54,skupaj,v zadnjih 3. mesecih,4
2010,Bolgarija,55-74,skupaj,v zadnjih 3. mesecih,0
2010,Bolgarija,16-24,moški,v zadnjih 3. mesecih,5
2010,Bolgarija,16-24,ženske,v zadnjih 3. mesecih,5
2010,Bolgarija,25-54,moški,v zadnjih 3. mesecih,4
2010,Bolgarija,25-54,ženske,v zadnjih 3. mesecih,4
2010,Bolgarija,55-74,moški,v zadnjih 3. mesecih,0
2010,Bolgarija,55-74,ženske,v zadnjih 3. mesecih,NA
2010,Češka,skupaj,skupaj,v zadnjih 3. mesecih,15
2010,Češka,16-24,skupaj,v zadnjih 3. mesecih,21
2010,Češka,25-54,skupaj,v zadnjih 3. mesecih,18
2010,Češka,55-74,skupaj,v zadnjih 3. mesecih,4
2010,Češka,16-24,moški,v zadnjih 3. mesecih,22
2010,Češka,16-24,ženske,v zadnjih 3. mesecih,21
2010,Češka,25-54,moški,v zadnjih 3. mesecih,19
2010,Češka,25-54,ženske,v zadnjih 3. mesecih,18
2010,Češka,55-74,moški,v zadnjih 3. mesecih,5
2010,Češka,55-74,ženske,v zadnjih 3. mesecih,3
2010,Danska,skupaj,skupaj,v zadnjih 3. mesecih,54
2010,Danska,16-24,skupaj,v zadnjih 3. mesecih,62
2010,Danska,25-54,skupaj,v zadnjih 3. mesecih,63
2010,Danska,55-74,skupaj,v zadnjih 3. mesecih,33
2010,Danska,16-24,moški,v zadnjih 3. mesecih,68
2010,Danska,16-24,ženske,v zadnjih 3. mesecih,55
2010,Danska,25-54,moški,v zadnjih 3. mesecih,63
2010,Danska,25-54,ženske,v zadnjih 3. mesecih,64
2010,Danska,55-74,moški,v zadnjih 3. mesecih,40
2010,Danska,55-74,ženske,v zadnjih 3. mesecih,27
2010,Nemčija,skupaj,skupaj,v zadnjih 3. mesecih,48
2010,Nemčija,16-24,skupaj,v zadnjih 3. mesecih,55
2010,Nemčija,25-54,skupaj,v zadnjih 3. mesecih,61
2010,Nemčija,55-74,skupaj,v zadnjih 3. mesecih,23
2010,Nemčija,16-24,moški,v zadnjih 3. mesecih,54
2010,Nemčija,16-24,ženske,v zadnjih 3. mesecih,56
2010,Nemčija,25-54,moški,v zadnjih 3. mesecih,62
2010,Nemčija,25-54,ženske,v zadnjih 3. mesecih,60
2010,Nemčija,55-74,moški,v zadnjih 3. mesecih,29
2010,Nemčija,55-74,ženske,v zadnjih 3. mesecih,18
2010,Estonija,skupaj,skupaj,v zadnjih 3. mesecih,13
2010,Estonija,16-24,skupaj,v zadnjih 3. mesecih,18
2010,Estonija,25-54,skupaj,v zadnjih 3. mesecih,18
2010,Estonija,55-74,skupaj,v zadnjih 3. mesecih,2
2010,Estonija,16-24,moški,v zadnjih 3. mesecih,16
2010,Estonija,16-24,ženske,v zadnjih 3. mesecih,20
2010,Estonija,25-54,moški,v zadnjih 3. mesecih,18
2010,Estonija,25-54,ženske,v zadnjih 3. mesecih,17
2010,Estonija,55-74,moški,v zadnjih 3. mesecih,1
2010,Estonija,55-74,ženske,v zadnjih 3. mesecih,3
2010,Irska,skupaj,skupaj,v zadnjih 3. mesecih,28
2010,Irska,16-24,skupaj,v zadnjih 3. mesecih,27
2010,Irska,25-54,skupaj,v zadnjih 3. mesecih,34
2010,Irska,55-74,skupaj,v zadnjih 3. mesecih,11
2010,Irska,16-24,moški,v zadnjih 3. mesecih,28
2010,Irska,16-24,ženske,v zadnjih 3. mesecih,26
2010,Irska,25-54,moški,v zadnjih 3. mesecih,34
2010,Irska,25-54,ženske,v zadnjih 3. mesecih,35
2010,Irska,55-74,moški,v zadnjih 3. mesecih,12
2010,Irska,55-74,ženske,v zadnjih 3. mesecih,9
2010,Grčija,skupaj,skupaj,v zadnjih 3. mesecih,9
2010,Grčija,16-24,skupaj,v zadnjih 3. mesecih,14
2010,Grčija,25-54,skupaj,v zadnjih 3. mesecih,11
2010,Grčija,55-74,skupaj,v zadnjih 3. mesecih,2
2010,Grčija,16-24,moški,v zadnjih 3. mesecih,17
2010,Grčija,16-24,ženske,v zadnjih 3. mesecih,11
2010,Grčija,25-54,moški,v zadnjih 3. mesecih,14
2010,Grčija,25-54,ženske,v zadnjih 3. mesecih,8
2010,Grčija,55-74,moški,v zadnjih 3. mesecih,3
2010,Grčija,55-74,ženske,v zadnjih 3. mesecih,1
2010,Španija,skupaj,skupaj,v zadnjih 3. mesecih,17
2010,Španija,16-24,skupaj,v zadnjih 3. mesecih,20
